airline,airline_sentiment
Virgin America,neutral
Virgin America,positive
Virgin America,neutral
Virgin America,negative
Virgin America,negative
Virgin America,neutral
Virgin America,positive
Virgin America,positive
Virgin America,positive
Virgin America,positive
Virgin America,negative
Virgin America,positive
Virgin America,positive
Virgin America,negative
Virgin America,positive
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,neutral
Virgin America,positive
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,positive
Virgin America,neutral
Virgin America,positive
Virgin America,neutral
Virgin America,neutral
Virgin America,positive
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,positive
Virgin America,neutral
Virgin America,negative
Virgin America,neutral
Virgin America,negative
Virgin America,negative
Virgin America,neutral
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,negative
Virgin America,neutral
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,neutral
Virgin America,negative
Virgin America,positive
Virgin America,positive
Virgin America,negative
Virgin America,negative
Virgin America,positive
Virgin America,positive
Virgin America,neutral
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,positive
Virgin America,positive
Virgin America,negative
Virgin America,neutral
Virgin America,negative
Virgin America,positive
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,neutral
Virgin America,positive
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,neutral
Virgin America,negative
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,negative
Virgin America,neutral
Virgin America,positive
Virgin America,negative
Virgin America,negative
Virgin America,neutral
Virgin America,negative
Virgin America,positive
Virgin America,positive
Virgin America,neutral
Virgin America,negative
Virgin America,neutral
Virgin America,neutral
Virgin America,negative
Virgin America,positive
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,positive
Virgin America,positive
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,positive
Virgin America,positive
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,positive
Virgin America,positive
Virgin America,positive
Virgin America,negative
Virgin America,positive
Virgin America,neutral
Virgin America,negative
Virgin America,negative
Virgin America,positive
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,positive
Virgin America,positive
Virgin America,negative
Virgin America,neutral
Virgin America,positive
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,negative
Virgin America,negative
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,positive
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,positive
Virgin America,positive
Virgin America,positive
Virgin America,negative
Virgin America,negative
Virgin America,neutral
Virgin America,positive
Virgin America,neutral
Virgin America,negative
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,positive
Virgin America,positive
Virgin America,neutral
Virgin America,negative
Virgin America,positive
Virgin America,negative
Virgin America,negative
Virgin America,negative
Virgin America,positive
Virgin America,positive
Virgin America,negative
Virgin America,positive
Virgin America,positive
Virgin America,neutral
Virgin America,neutral
Virgin America,positive
Virgin America,neutral
Virgin America,negative
Virgin America,positive
Virgin America,negative
Virgin America,positive
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,positive
Virgin America,negative
Virgin America,negative
Virgin America,neutral
Virgin America,neutral
Virgin America,positive
Virgin America,neutral
Virgin America,positive
Virgin America,neutral
Virgin America,negative
Virgin America,positive
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,positive
Virgin America,neutral
Virgin America,negative
Virgin America,negative
Virgin America,positive
Virgin America,neutral
Virgin America,positive
Virgin America,negative
Virgin America,neutral
Virgin America,neutral
Virgin America,neutral
Virgin America,negative
Virgin America,positive
Virgin America,positive
Virgin America,neutral
Virgin America,negative
Virgin America,negative
Virgin America,positive
Virgin America,positive
Virgin America,neutral
Virgin America,negative
Virgin America,neutral
Virgin America,neutral
Virgin America,positive
United,positive
United,negative
United,positive
United,positive
United,neutral
United,negative
United,negative
United,neutral
United,negative
United,negative
United,neutral
United,negative
United,neutral
United,negative
United,neutral
United,negative
United,negative
United,neutral
United,neutral
United,neutral
United,negative
United,negative
United,neutral
United,negative
United,negative
United,negative
United,positive
United,negative
United,negative
United,negative
United,neutral
United,negative
United,negative
United,negative
United,neutral
United,positive
United,negative
United,negative
United,negative
United,negative
United,negative
United,negative
United,negative
United,negative
United,neutral
United,negative
United,negative
United,positive
United,neutral
United,positive
United,neutral
United,negative
United,negative
United,negative
United,negative
United,positive
United,negative
United,negative
United,neutral
United,negative
United,neutral
United,negative
United,negative
United,negative
United,negative
United,negative
United,neutral
United,negative
United,negative
United,neutral
United,negative
United,negative
United,neutral
United,negative
United,neutral
United,negative
United,negative
United,negative
United,neutral
United,negative
United,neutral
United,neutral
United,negative
United,negative
United,neutral
United,positive
United,negative
United,neutral
United,negative
United,neutral
United,negative
United,negative
United,neutral
United,negative
United,negative
United,negative
United,negative
United,positive
United,negative
United,neutral
United,negative
United,negative
United,positive
United,negative
United,negative
United,neutral
United,negative
United,neutral
United,neutral
United,negative
United,negative
United,negative
United,negative
United,positive
United,negative
United,negative
United,neutral
United,negative
United,positive
United,negative
United,negative
United,negative
United,neutral
United,negative
United,positive
United,negative
United,negative
United,negative
